region,date,value
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-02-29,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-01,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-02,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-03,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-04,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-05,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-06,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-07,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-08,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-09,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-10,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-11,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-12,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-13,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-14,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-15,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-16,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-17,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-18,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-19,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-20,5
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-21,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-22,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-23,2
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-24,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-25,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-26,15
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-27,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-28,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-29,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-30,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-31,14
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-01,22
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-02,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-03,2
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-04,3
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-05,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-06,29
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-07,2
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-08,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-09,9
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-10,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-11,11
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-12,6
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-13,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-14,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-15,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-16,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-17,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-18,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-19,2
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-20,3
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-21,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-22,3
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-23,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-24,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-25,4
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-26,5
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-27,9
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-28,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-29,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-30,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-05-01,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-05-02,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-05-03,1
Northwestern Health Unit,2020-02-29,0
Northwestern Health Unit,2020-03-01,0
Northwestern Health Unit,2020-03-02,0
Northwestern Health Unit,2020-03-03,0
Northwestern Health Unit,2020-03-04,0
Northwestern Health Unit,2020-03-05,0
Northwestern Health Unit,2020-03-06,0
Northwestern Health Unit,2020-03-07,0
Northwestern Health Unit,2020-03-08,0
Northwestern Health Unit,2020-03-09,0
Northwestern Health Unit,2020-03-10,0
Northwestern Health Unit,2020-03-11,0
Northwestern Health Unit,2020-03-12,0
Northwestern Health Unit,2020-03-13,0
Northwestern Health Unit,2020-03-14,1
Northwestern Health Unit,2020-03-15,0
Northwestern Health Unit,2020-03-16,0
Northwestern Health Unit,2020-03-17,0
Northwestern Health Unit,2020-03-18,0
Northwestern Health Unit,2020-03-19,0
Northwestern Health Unit,2020-03-20,0
Northwestern Health Unit,2020-03-21,0
Northwestern Health Unit,2020-03-22,0
Northwestern Health Unit,2020-03-23,0
Northwestern Health Unit,2020-03-24,0
Northwestern Health Unit,2020-03-25,0
Northwestern Health Unit,2020-03-26,1
Northwestern Health Unit,2020-03-27,1
Northwestern Health Unit,2020-03-28,0
Northwestern Health Unit,2020-03-29,0
Northwestern Health Unit,2020-03-30,0
Northwestern Health Unit,2020-03-31,0
Northwestern Health Unit,2020-04-01,0
Northwestern Health Unit,2020-04-02,2
Northwestern Health Unit,2020-04-03,0
Northwestern Health Unit,2020-04-04,0
Northwestern Health Unit,2020-04-05,0
Northwestern Health Unit,2020-04-06,2
Northwestern Health Unit,2020-04-07,0
Northwestern Health Unit,2020-04-08,0
Northwestern Health Unit,2020-04-09,3
Northwestern Health Unit,2020-04-10,0
Northwestern Health Unit,2020-04-11,0
Northwestern Health Unit,2020-04-12,0
Northwestern Health Unit,2020-04-13,0
Northwestern Health Unit,2020-04-14,1
Northwestern Health Unit,2020-04-15,0
Northwestern Health Unit,2020-04-16,0
Northwestern Health Unit,2020-04-17,1
Northwestern Health Unit,2020-04-18,1
Northwestern Health Unit,2020-04-19,0
Northwestern Health Unit,2020-04-20,2
Northwestern Health Unit,2020-04-21,0
Northwestern Health Unit,2020-04-22,1
Northwestern Health Unit,2020-04-23,0
Northwestern Health Unit,2020-04-24,0
Northwestern Health Unit,2020-04-25,0
Northwestern Health Unit,2020-04-26,0
Northwestern Health Unit,2020-04-27,0
Northwestern Health Unit,2020-04-28,0
Northwestern Health Unit,2020-04-29,0
Northwestern Health Unit,2020-04-30,0
Northwestern Health Unit,2020-05-01,0
Northwestern Health Unit,2020-05-02,0
Northwestern Health Unit,2020-05-03,0
Durham Regional Health Unit,2020-02-29,2
Durham Regional Health Unit,2020-03-01,0
Durham Regional Health Unit,2020-03-02,0
Durham Regional Health Unit,2020-03-03,0
Durham Regional Health Unit,2020-03-04,0
Durham Regional Health Unit,2020-03-05,0
Durham Regional Health Unit,2020-03-06,0
Durham Regional Health Unit,2020-03-07,0
Durham Regional Health Unit,2020-03-08,0
Durham Regional Health Unit,2020-03-09,0
Durham Regional Health Unit,2020-03-10,0
Durham Regional Health Unit,2020-03-11,0
Durham Regional Health Unit,2020-03-12,0
Durham Regional Health Unit,2020-03-13,0
Durham Regional Health Unit,2020-03-14,3
Durham Regional Health Unit,2020-03-15,2
Durham Regional Health Unit,2020-03-16,1
Durham Regional Health Unit,2020-03-17,0
Durham Regional Health Unit,2020-03-18,0
Durham Regional Health Unit,2020-03-19,4
Durham Regional Health Unit,2020-03-20,11
Durham Regional Health Unit,2020-03-21,4
Durham Regional Health Unit,2020-03-22,2
Durham Regional Health Unit,2020-03-23,6
Durham Regional Health Unit,2020-03-24,9
Durham Regional Health Unit,2020-03-25,9
Durham Regional Health Unit,2020-03-26,5
Durham Regional Health Unit,2020-03-27,10
Durham Regional Health Unit,2020-03-28,10
Durham Regional Health Unit,2020-03-29,10
Durham Regional Health Unit,2020-03-30,11
Durham Regional Health Unit,2020-03-31,12
Durham Regional Health Unit,2020-04-01,39
Durham Regional Health Unit,2020-04-02,23
Durham Regional Health Unit,2020-04-03,10
Durham Regional Health Unit,2020-04-04,38
Durham Regional Health Unit,2020-04-05,11
Durham Regional Health Unit,2020-04-06,11
Durham Regional Health Unit,2020-04-07,23
Durham Regional Health Unit,2020-04-08,11
Durham Regional Health Unit,2020-04-09,22
Durham Regional Health Unit,2020-04-10,19
Durham Regional Health Unit,2020-04-11,16
Durham Regional Health Unit,2020-04-12,22
Durham Regional Health Unit,2020-04-13,12
Durham Regional Health Unit,2020-04-14,74
Durham Regional Health Unit,2020-04-15,14
Durham Regional Health Unit,2020-04-16,40
Durham Regional Health Unit,2020-04-17,35
Durham Regional Health Unit,2020-04-18,37
Durham Regional Health Unit,2020-04-19,53
Durham Regional Health Unit,2020-04-20,51
Durham Regional Health Unit,2020-04-21,40
Durham Regional Health Unit,2020-04-22,45
Durham Regional Health Unit,2020-04-23,24
Durham Regional Health Unit,2020-04-24,29
Durham Regional Health Unit,2020-04-25,26
Durham Regional Health Unit,2020-04-26,39
Durham Regional Health Unit,2020-04-27,24
Durham Regional Health Unit,2020-04-28,24
Durham Regional Health Unit,2020-04-29,10
Durham Regional Health Unit,2020-04-30,22
Durham Regional Health Unit,2020-05-01,40
Durham Regional Health Unit,2020-05-02,25
Durham Regional Health Unit,2020-05-03,26
Windsor-Essex County Health Unit,2020-02-29,0
Windsor-Essex County Health Unit,2020-03-01,0
Windsor-Essex County Health Unit,2020-03-02,0
Windsor-Essex County Health Unit,2020-03-03,0
Windsor-Essex County Health Unit,2020-03-04,0
Windsor-Essex County Health Unit,2020-03-05,0
Windsor-Essex County Health Unit,2020-03-06,0
Windsor-Essex County Health Unit,2020-03-07,0
Windsor-Essex County Health Unit,2020-03-08,0
Windsor-Essex County Health Unit,2020-03-09,0
Windsor-Essex County Health Unit,2020-03-10,0
Windsor-Essex County Health Unit,2020-03-11,0
Windsor-Essex County Health Unit,2020-03-12,0
Windsor-Essex County Health Unit,2020-03-13,0
Windsor-Essex County Health Unit,2020-03-14,0
Windsor-Essex County Health Unit,2020-03-15,0
Windsor-Essex County Health Unit,2020-03-16,0
Windsor-Essex County Health Unit,2020-03-17,0
Windsor-Essex County Health Unit,2020-03-18,0
Windsor-Essex County Health Unit,2020-03-19,0
Windsor-Essex County Health Unit,2020-03-20,0
Windsor-Essex County Health Unit,2020-03-21,1
Windsor-Essex County Health Unit,2020-03-22,1
Windsor-Essex County Health Unit,2020-03-23,0
Windsor-Essex County Health Unit,2020-03-24,1
Windsor-Essex County Health Unit,2020-03-25,2
Windsor-Essex County Health Unit,2020-03-26,1
Windsor-Essex County Health Unit,2020-03-27,3
Windsor-Essex County Health Unit,2020-03-28,6
Windsor-Essex County Health Unit,2020-03-29,10
Windsor-Essex County Health Unit,2020-03-30,19
Windsor-Essex County Health Unit,2020-03-31,0
Windsor-Essex County Health Unit,2020-04-01,48
Windsor-Essex County Health Unit,2020-04-02,36
Windsor-Essex County Health Unit,2020-04-03,13
Windsor-Essex County Health Unit,2020-04-04,19
Windsor-Essex County Health Unit,2020-04-05,24
Windsor-Essex County Health Unit,2020-04-06,20
Windsor-Essex County Health Unit,2020-04-07,23
Windsor-Essex County Health Unit,2020-04-08,17
Windsor-Essex County Health Unit,2020-04-09,18
Windsor-Essex County Health Unit,2020-04-10,28
Windsor-Essex County Health Unit,2020-04-11,9
Windsor-Essex County Health Unit,2020-04-12,12
Windsor-Essex County Health Unit,2020-04-13,3
Windsor-Essex County Health Unit,2020-04-14,35
Windsor-Essex County Health Unit,2020-04-15,59
Windsor-Essex County Health Unit,2020-04-16,19
Windsor-Essex County Health Unit,2020-04-17,12
Windsor-Essex County Health Unit,2020-04-18,13
Windsor-Essex County Health Unit,2020-04-19,10
Windsor-Essex County Health Unit,2020-04-20,20
Windsor-Essex County Health Unit,2020-04-21,24
Windsor-Essex County Health Unit,2020-04-22,12
Windsor-Essex County Health Unit,2020-04-23,7
Windsor-Essex County Health Unit,2020-04-24,16
Windsor-Essex County Health Unit,2020-04-25,9
Windsor-Essex County Health Unit,2020-04-26,7
Windsor-Essex County Health Unit,2020-04-27,12
Windsor-Essex County Health Unit,2020-04-28,12
Windsor-Essex County Health Unit,2020-04-29,5
Windsor-Essex County Health Unit,2020-04-30,8
Windsor-Essex County Health Unit,2020-05-01,10
Windsor-Essex County Health Unit,2020-05-02,8
Windsor-Essex County Health Unit,2020-05-03,11
Lambton Health Unit,2020-02-29,0
Lambton Health Unit,2020-03-01,0
Lambton Health Unit,2020-03-02,0
Lambton Health Unit,2020-03-03,0
Lambton Health Unit,2020-03-04,0
Lambton Health Unit,2020-03-05,0
Lambton Health Unit,2020-03-06,0
Lambton Health Unit,2020-03-07,0
Lambton Health Unit,2020-03-08,0
Lambton Health Unit,2020-03-09,0
Lambton Health Unit,2020-03-10,0
Lambton Health Unit,2020-03-11,0
Lambton Health Unit,2020-03-12,0
Lambton Health Unit,2020-03-13,0
Lambton Health Unit,2020-03-14,0
Lambton Health Unit,2020-03-15,0
Lambton Health Unit,2020-03-16,0
Lambton Health Unit,2020-03-17,0
Lambton Health Unit,2020-03-18,0
Lambton Health Unit,2020-03-19,0
Lambton Health Unit,2020-03-20,0
Lambton Health Unit,2020-03-21,0
Lambton Health Unit,2020-03-22,0
Lambton Health Unit,2020-03-23,0
Lambton Health Unit,2020-03-24,0
Lambton Health Unit,2020-03-25,0
Lambton Health Unit,2020-03-26,5
Lambton Health Unit,2020-03-27,3
Lambton Health Unit,2020-03-28,0
Lambton Health Unit,2020-03-29,0
Lambton Health Unit,2020-03-30,0
Lambton Health Unit,2020-03-31,0
Lambton Health Unit,2020-04-01,48
Lambton Health Unit,2020-04-02,3
Lambton Health Unit,2020-04-03,4
Lambton Health Unit,2020-04-04,5
Lambton Health Unit,2020-04-05,11
Lambton Health Unit,2020-04-06,1
Lambton Health Unit,2020-04-07,6
Lambton Health Unit,2020-04-08,1
Lambton Health Unit,2020-04-09,11
Lambton Health Unit,2020-04-10,7
Lambton Health Unit,2020-04-11,2
Lambton Health Unit,2020-04-12,8
Lambton Health Unit,2020-04-13,3
Lambton Health Unit,2020-04-14,1
Lambton Health Unit,2020-04-15,0
Lambton Health Unit,2020-04-16,9
Lambton Health Unit,2020-04-17,0
Lambton Health Unit,2020-04-18,3
Lambton Health Unit,2020-04-19,1
Lambton Health Unit,2020-04-20,13
Lambton Health Unit,2020-04-21,3
Lambton Health Unit,2020-04-22,2
Lambton Health Unit,2020-04-23,9
Lambton Health Unit,2020-04-24,5
Lambton Health Unit,2020-04-25,1
Lambton Health Unit,2020-04-26,2
Lambton Health Unit,2020-04-27,3
Lambton Health Unit,2020-04-28,8
Lambton Health Unit,2020-04-29,3
Lambton Health Unit,2020-04-30,1
Lambton Health Unit,2020-05-01,1
Lambton Health Unit,2020-05-02,4
Lambton Health Unit,2020-05-03,1
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-02-29,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-01,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-02,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-03,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-04,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-05,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-06,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-07,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-08,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-09,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-10,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-11,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-12,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-13,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-14,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-15,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-16,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-17,3
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-18,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-19,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-20,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-21,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-22,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-23,1
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-24,3
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-25,5
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-26,2
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-27,2
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-28,1
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-29,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-30,17
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-03-31,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-01,12
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-02,1
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-03,1
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-04,4
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-05,1
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-06,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-07,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-08,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-09,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-10,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-11,2
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-12,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-13,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-14,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-15,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-16,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-17,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-18,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-19,1
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-20,1
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-21,2
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-22,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-23,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-24,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-25,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-26,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-27,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-28,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-29,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-04-30,2
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-05-01,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-05-02,0
"Kingston, Frontenac, and Lennox and Addington Health Unit",2020-05-03,0
City of Hamilton Health Unit,2020-02-29,0
City of Hamilton Health Unit,2020-03-01,0
City of Hamilton Health Unit,2020-03-02,0
City of Hamilton Health Unit,2020-03-03,0
City of Hamilton Health Unit,2020-03-04,0
City of Hamilton Health Unit,2020-03-05,0
City of Hamilton Health Unit,2020-03-06,0
City of Hamilton Health Unit,2020-03-07,0
City of Hamilton Health Unit,2020-03-08,0
City of Hamilton Health Unit,2020-03-09,0
City of Hamilton Health Unit,2020-03-10,0
City of Hamilton Health Unit,2020-03-11,0
City of Hamilton Health Unit,2020-03-12,1
City of Hamilton Health Unit,2020-03-13,0
City of Hamilton Health Unit,2020-03-14,1
City of Hamilton Health Unit,2020-03-15,3
City of Hamilton Health Unit,2020-03-16,4
City of Hamilton Health Unit,2020-03-17,5
City of Hamilton Health Unit,2020-03-18,2
City of Hamilton Health Unit,2020-03-19,2
City of Hamilton Health Unit,2020-03-20,2
City of Hamilton Health Unit,2020-03-21,4
City of Hamilton Health Unit,2020-03-22,5
City of Hamilton Health Unit,2020-03-23,3
City of Hamilton Health Unit,2020-03-24,3
City of Hamilton Health Unit,2020-03-25,4
City of Hamilton Health Unit,2020-03-26,1
City of Hamilton Health Unit,2020-03-27,0
City of Hamilton Health Unit,2020-03-28,13
City of Hamilton Health Unit,2020-03-29,17
City of Hamilton Health Unit,2020-03-30,0
City of Hamilton Health Unit,2020-03-31,0
City of Hamilton Health Unit,2020-04-01,42
City of Hamilton Health Unit,2020-04-02,15
City of Hamilton Health Unit,2020-04-03,11
City of Hamilton Health Unit,2020-04-04,9
City of Hamilton Health Unit,2020-04-05,8
City of Hamilton Health Unit,2020-04-06,15
City of Hamilton Health Unit,2020-04-07,13
City of Hamilton Health Unit,2020-04-08,15
City of Hamilton Health Unit,2020-04-09,8
City of Hamilton Health Unit,2020-04-10,12
City of Hamilton Health Unit,2020-04-11,14
City of Hamilton Health Unit,2020-04-12,10
City of Hamilton Health Unit,2020-04-13,14
City of Hamilton Health Unit,2020-04-14,5
City of Hamilton Health Unit,2020-04-15,15
City of Hamilton Health Unit,2020-04-16,30
City of Hamilton Health Unit,2020-04-17,13
City of Hamilton Health Unit,2020-04-18,4
City of Hamilton Health Unit,2020-04-19,5
City of Hamilton Health Unit,2020-04-20,3
City of Hamilton Health Unit,2020-04-21,23
City of Hamilton Health Unit,2020-04-22,0
City of Hamilton Health Unit,2020-04-23,10
City of Hamilton Health Unit,2020-04-24,5
City of Hamilton Health Unit,2020-04-25,23
City of Hamilton Health Unit,2020-04-26,9
City of Hamilton Health Unit,2020-04-27,8
City of Hamilton Health Unit,2020-04-28,12
City of Hamilton Health Unit,2020-04-29,4
City of Hamilton Health Unit,2020-04-30,6
City of Hamilton Health Unit,2020-05-01,8
City of Hamilton Health Unit,2020-05-02,8
City of Hamilton Health Unit,2020-05-03,7
Peel Regional Health Unit,2020-02-29,0
Peel Regional Health Unit,2020-03-01,0
Peel Regional Health Unit,2020-03-02,0
Peel Regional Health Unit,2020-03-03,0
Peel Regional Health Unit,2020-03-04,0
Peel Regional Health Unit,2020-03-05,0
Peel Regional Health Unit,2020-03-06,2
Peel Regional Health Unit,2020-03-07,0
Peel Regional Health Unit,2020-03-08,1
Peel Regional Health Unit,2020-03-09,1
Peel Regional Health Unit,2020-03-10,0
Peel Regional Health Unit,2020-03-11,0
Peel Regional Health Unit,2020-03-12,3
Peel Regional Health Unit,2020-03-13,4
Peel Regional Health Unit,2020-03-14,1
Peel Regional Health Unit,2020-03-15,5
Peel Regional Health Unit,2020-03-16,4
Peel Regional Health Unit,2020-03-17,0
Peel Regional Health Unit,2020-03-18,2
Peel Regional Health Unit,2020-03-19,3
Peel Regional Health Unit,2020-03-20,7
Peel Regional Health Unit,2020-03-21,4
Peel Regional Health Unit,2020-03-22,1
Peel Regional Health Unit,2020-03-23,6
Peel Regional Health Unit,2020-03-24,5
Peel Regional Health Unit,2020-03-25,13
Peel Regional Health Unit,2020-03-26,15
Peel Regional Health Unit,2020-03-27,12
Peel Regional Health Unit,2020-03-28,14
Peel Regional Health Unit,2020-03-29,38
Peel Regional Health Unit,2020-03-30,75
Peel Regional Health Unit,2020-03-31,61
Peel Regional Health Unit,2020-04-01,32
Peel Regional Health Unit,2020-04-02,53
Peel Regional Health Unit,2020-04-03,50
Peel Regional Health Unit,2020-04-04,36
Peel Regional Health Unit,2020-04-05,37
Peel Regional Health Unit,2020-04-06,72
Peel Regional Health Unit,2020-04-07,80
Peel Regional Health Unit,2020-04-08,47
Peel Regional Health Unit,2020-04-09,102
Peel Regional Health Unit,2020-04-10,46
Peel Regional Health Unit,2020-04-11,54
Peel Regional Health Unit,2020-04-12,65
Peel Regional Health Unit,2020-04-13,50
Peel Regional Health Unit,2020-04-14,62
Peel Regional Health Unit,2020-04-15,93
Peel Regional Health Unit,2020-04-16,63
Peel Regional Health Unit,2020-04-17,55
Peel Regional Health Unit,2020-04-18,73
Peel Regional Health Unit,2020-04-19,102
Peel Regional Health Unit,2020-04-20,216
Peel Regional Health Unit,2020-04-21,87
Peel Regional Health Unit,2020-04-22,211
Peel Regional Health Unit,2020-04-23,67
Peel Regional Health Unit,2020-04-24,85
Peel Regional Health Unit,2020-04-25,60
Peel Regional Health Unit,2020-04-26,92
Peel Regional Health Unit,2020-04-27,45
Peel Regional Health Unit,2020-04-28,46
Peel Regional Health Unit,2020-04-29,45
Peel Regional Health Unit,2020-04-30,53
Peel Regional Health Unit,2020-05-01,55
Peel Regional Health Unit,2020-05-02,63
Peel Regional Health Unit,2020-05-03,56
City of Ottawa Health Unit,2020-02-29,0
City of Ottawa Health Unit,2020-03-01,0
City of Ottawa Health Unit,2020-03-02,0
City of Ottawa Health Unit,2020-03-03,0
City of Ottawa Health Unit,2020-03-04,0
City of Ottawa Health Unit,2020-03-05,0
City of Ottawa Health Unit,2020-03-06,0
City of Ottawa Health Unit,2020-03-07,0
City of Ottawa Health Unit,2020-03-08,0
City of Ottawa Health Unit,2020-03-09,0
City of Ottawa Health Unit,2020-03-10,0
City of Ottawa Health Unit,2020-03-11,1
City of Ottawa Health Unit,2020-03-12,1
City of Ottawa Health Unit,2020-03-13,1
City of Ottawa Health Unit,2020-03-14,2
City of Ottawa Health Unit,2020-03-15,5
City of Ottawa Health Unit,2020-03-16,3
City of Ottawa Health Unit,2020-03-17,0
City of Ottawa Health Unit,2020-03-18,1
City of Ottawa Health Unit,2020-03-19,2
City of Ottawa Health Unit,2020-03-20,3
City of Ottawa Health Unit,2020-03-21,1
City of Ottawa Health Unit,2020-03-22,1
City of Ottawa Health Unit,2020-03-23,3
City of Ottawa Health Unit,2020-03-24,3
City of Ottawa Health Unit,2020-03-25,0
City of Ottawa Health Unit,2020-03-26,5
City of Ottawa Health Unit,2020-03-27,10
City of Ottawa Health Unit,2020-03-28,12
City of Ottawa Health Unit,2020-03-29,10
City of Ottawa Health Unit,2020-03-30,33
City of Ottawa Health Unit,2020-03-31,47
City of Ottawa Health Unit,2020-04-01,50
City of Ottawa Health Unit,2020-04-02,58
City of Ottawa Health Unit,2020-04-03,37
City of Ottawa Health Unit,2020-04-04,33
City of Ottawa Health Unit,2020-04-05,23
City of Ottawa Health Unit,2020-04-06,25
City of Ottawa Health Unit,2020-04-07,33
City of Ottawa Health Unit,2020-04-08,26
City of Ottawa Health Unit,2020-04-09,29
City of Ottawa Health Unit,2020-04-10,36
City of Ottawa Health Unit,2020-04-11,30
City of Ottawa Health Unit,2020-04-12,37
City of Ottawa Health Unit,2020-04-13,25
City of Ottawa Health Unit,2020-04-14,33
City of Ottawa Health Unit,2020-04-15,24
City of Ottawa Health Unit,2020-04-16,35
